"행정구역","2025년10월_계_총인구수","2025년10월_계_연령구간인구수","2025년10월_계_0~9세","2025년10월_계_10~19세","2025년10월_계_20~29세","2025년10월_계_30~39세","2025년10월_계_40~49세","2025년10월_계_50~59세","2025년10월_계_60~69세","2025년10월_계_70~79세","2025년10월_계_80~89세","2025년10월_계_90~99세","2025년10월_계_100세 이상","2025년10월_남_총인구수","2025년10월_남_연령구간인구수","2025년10월_남_0~9세","2025년10월_남_10~19세","2025년10월_남_20~29세","2025년10월_남_30~39세","2025년10월_남_40~49세","2025년10월_남_50~59세","2025년10월_남_60~69세","2025년10월_남_70~79세","2025년10월_남_80~89세","2025년10월_남_90~99세","2025년10월_남_100세 이상","2025년10월_여_총인구수","2025년10월_여_연령구간인구수","2025년10월_여_0~9세","2025년10월_여_10~19세","2025년10월_여_20~29세","2025년10월_여_30~39세","2025년10월_여_40~49세","2025년10월_여_50~59세","2025년10월_여_60~69세","2025년10월_여_70~79세","2025년10월_여_80~89세","2025년10월_여_90~99세","2025년10월_여_100세 이상"
"대구광역시 북구 복현1동(2723067100)","6,950","6,950","98","247","2,499","893","613","939","924","520","186","31","0","3,884","3,884","56","116","1,433","614","371","529","441","245","70","9","0","3,066","3,066","42","131","1,066","279","242","410","483","275","116","22","0"
"대구광역시 북구 복현2동(2723067200)","29,014","29,014","1,724","2,923","3,770","3,789","4,188","4,951","4,500","2,160","867","139","3","14,330","14,330","874","1,514","2,100","2,046","2,044","2,287","2,109","1,022","304","30","0","14,684","14,684","850","1,409","1,670","1,743","2,144","2,664","2,391","1,138","563","109","3"
"대구광역시 북구 검단동(2723068000)","5,575","5,575","139","269","433","578","672","916","1,257","856","397","58","0","2,705","2,705","69","151","220","343","366","487","549","375","131","14","0","2,870","2,870","70","118","213","235","306","429","708","481","266","44","0"
"대구광역시 북구 무태조야동(2723069500)","33,085","33,085","2,107","3,312","3,441","3,270","5,238","7,109","4,736","2,679","1,050","142","1","16,890","16,890","1,099","1,703","1,871","1,750","2,655","3,742","2,382","1,254","403","30","1","16,195","16,195","1,008","1,609","1,570","1,520","2,583","3,367","2,354","1,425","647","112","0"
"대구광역시 북구 관문동(2723071500)","32,542","32,542","2,662","3,380","2,781","3,885","5,718","5,626","4,971","2,442","939","134","4","16,125","16,125","1,342","1,760","1,480","1,979","2,945","2,763","2,372","1,130","331","23","0","16,417","16,417","1,320","1,620","1,301","1,906","2,773","2,863","2,599","1,312","608","111","4"
"대구광역시 북구 태전1동(2723072500)","21,290","21,290","758","1,503","3,517","2,380","2,458","3,984","3,747","1,882","891","167","3","10,598","10,598","426","750","1,798","1,349","1,286","1,948","1,815","878","309","39","0","10,692","10,692","332","753","1,719","1,031","1,172","2,036","1,932","1,004","582","128","3"
"대구광역시 북구 태전2동(2723073500)","21,935","21,935","921","1,932","2,765","2,299","2,747","4,236","3,939","2,090","890","111","5","10,625","10,625","456","1,036","1,457","1,245","1,371","1,949","1,876","872","342","21","0","11,310","11,310","465","896","1,308","1,054","1,376","2,287","2,063","1,218","548","90","5"
"대구광역시 북구 구암동(2723074500)","30,895","30,895","1,310","3,633","4,061","2,759","4,317","7,104","4,701","1,851","1,018","137","4","15,030","15,030","653","1,839","2,187","1,511","1,930","3,397","2,334","795","353","31","0","15,865","15,865","657","1,794","1,874","1,248","2,387","3,707","2,367","1,056","665","106","4"
"대구광역시 북구 관음동(2723075000)","13,960","13,960","391","1,021","1,519","1,319","1,477","2,948","3,035","1,460","689","98","3","7,037","7,037","211","532","868","783","761","1,446","1,488","699","229","20","0","6,923","6,923","180","489","651","536","716","1,502","1,547","761","460","78","3"
"대구광역시 북구 읍내동(2723077000)","25,068","25,068","1,151","2,016","3,096","2,939","2,915","5,034","4,663","2,048","1,029","175","2","12,421","12,421","600","1,068","1,687","1,621","1,430","2,366","2,300","941","373","35","0","12,647","12,647","551","948","1,409","1,318","1,485","2,668","2,363","1,107","656","140","2"
